detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
500,0.128121416063311,0.066325424011474,primary,é?æ?¶å???ä¸??,0,taipeh,3,37,121.5137727,25.0652321
501,0.169204609378126,0.123471233172754,tertiary,?å??å???ä¸??,0,taipeh,2,295,121.5355388,25.0665684
503,0.17497545986849,0.11614539064464,tertiary,æ???å???,0,taipeh,1,110,121.5256864,25.065519
505,0.227956729347268,0.13438521253041,secondary,æ°?æ???,0,taipeh,2,119,121.5294132,25.0683397
506,0.21487664121999,0.039557543527531,secondary,?æ±??,0,taipeh,3,294,121.5333628,25.0661666
508,0.255880563497693,0.09961471419864,secondary,æ°?æ???,0,taipeh,1,106,121.521101,25.0684767
510,1.30800666804355,0.758741520887972,trunk,ç?°?å???äº??,0,taipeh,2,45,121.5087323,25.0637472
511,0.196536716183269,0.082551576476051,primary,é?æ?¶å???ä¸??,0,taipeh,3,41,121.5138351,25.0697191
512,0.144353457768666,0.122434256492457,primary,é?æ?¶å???ä¸??,0,taipeh,3,38,121.513622,25.0671934
519,0.494025510199102,0.255641233078226,primary,??å???ä¸??,0,taipeh,2,121,121.5241597,25.0728727
523,0.116630740113191,0.056819895876932,secondary,æ?¿??ä¸??,50,taipeh,3,112,121.5194352,25.0733766
607,0.239463446402035,0.150236169571493,tertiary,æ??è¡?,0,taipeh,2,127,121.5311219,25.0140827
608,0.314583235602813,0.154518079516533,primary,ç¾?æ?¯??å???,0,taipeh,3,130,121.5361188,25.0127403
610,0.290551575538707,0.195585689055921,primary,ç¾?æ?¯??ä¸??,0,taipeh,3,136,121.5300335,25.0187822
611,0.162570553958314,0.062367555563138,primary,ç¾?æ?¯??ä¸??,0,taipeh,3,188,121.5269405,25.0215539
613,0.375472859045639,0.062119987385112,secondary,æ?¦å??å??äº??,0,taipeh,2,378,121.5484946,25.0252974
616,0.686170777910753,0.13178324491725,residential,,0,taipeh,2,150,121.4915619,25.0249816
618,0.184705954095449,0.098325360113297,secondary,å?????ä¸??,0,taipeh,3,194,121.5248139,25.0267622
619,0.191803283168691,0.116130432175168,secondary,å?????ä¸??,0,taipeh,3,190,121.5291392,25.0264413
620,0.149885186712744,0.078731574579842,tertiary,???äº??,0,taipeh,1,176,121.5051409,25.0287379
621,0.211902941013227,0.102877897813823,secondary,é???å??äº??,0,taipeh,2,191,121.5260769,25.0278354
622,0.117220268272596,0.059080334487201,tertiary,å?????ä¸??,0,taipeh,2,196,121.5183965,25.0265236
623,0.124951378637456,0.064521668082387,secondary,æ?¦å??å??äº??,0,taipeh,2,380,121.5485493,25.030589
626,0.26463760230321,0.053732468217791,tertiary,å?????äº??,0,taipeh,2,178,121.5109195,25.0295315
627,0.23030032978859,0.055947321994802,secondary,é?æ?¶å??ä¸??,0,taipeh,2,181,121.5156687,25.0281683
628,0.180557841405415,0.085547305632092,primary,ç¾?æ?¯??äº??,0,taipeh,3,197,121.5209719,25.0289219
631,0.104265400256241,0.064049617586021,tertiary,???,0,taipeh,1,155,121.5004948,25.0300974
632,0.157618633398738,0.07466069668525,residential,è??å???,0,taipeh,1,157,121.5013629,25.0311296
634,0.237005223769739,0.177060270846206,secondary,é?æ?¶å??äº??,0,taipeh,2,179,121.5145468,25.0313347
635,0.278568494610545,0.220773277117514,secondary,é?æ?¶å??äº??,0,taipeh,2,183,121.5130884,25.033858
638,0.12486514869529,0.063310703035337,tertiary,ç?°?å??äº??,0,taipeh,1,163,121.4917759,25.0325365
639,0.248330380696874,0.135520832883049,tertiary_link,è??è?º?é?,0,taipeh,2,170,121.5033188,25.0333882
640,0.154918951998855,0.099813688856771,primary,??å??,0,taipeh,2,70,121.5186364,25.0428367
641,0.354856326845964,0.140499010408887,tertiary,é?æ?¶å??ä¸??,0,taipeh,2,185,121.5125351,25.0367626
642,0.247257826940575,0.114058027074605,primary,å?????ä¸??,0,taipeh,2,220,121.4959761,25.0352768
643,0.404980242469908,0.190747341934556,secondary,æ?¦å??å??ä¸??,0,taipeh,2,382,121.5486175,25.0351108
647,0.309275666236703,0.191572220223088,secondary,é???å??ä¸??,0,taipeh,2,48,121.5278903,25.0370812
649,0.374847416167661,0.17889299602757,secondary,å???å??,0,taipeh,2,344,121.5576573,25.0431296
654,0.138276459819544,0.090620962455001,secondary,é???å??äº??,0,taipeh,2,202,121.5269315,25.0325987
655,0.181219632558405,0.059233241605252,tertiary,é?æ?¶å??ä¸??,0,taipeh,1,212,121.5131361,25.0429442
656,0.187593473549777,0.070454078532122,primary,????ä¸??,0,taipeh,3,64,121.5261415,25.0440348
657,0.144184074886052,0.095065817316599,secondary,å?«??äº??,0,taipeh,1,271,121.5336138,25.0444507
658,0.177296522930326,0.116371027820806,primary,????ä¸??,0,taipeh,3,73,121.5221056,25.0450008
661,0.155837684358031,0.064057894237331,tertiary,æ???å???,0,taipeh,1,75,121.5236805,25.0457044
662,0.214915420759795,0.088026898757832,secondary,å?«??äº??,0,taipeh,2,248,121.5406027,25.0466937
663,0.164287740260012,0.119663285049231,secondary,å???å??,0,taipeh,2,346,121.5577058,25.0463473
664,0.19025142892219,0.120470046591832,secondary,å?«??äº??,0,taipeh,2,260,121.5446973,25.0476847
666,0.183702083789027,0.072429371465562,secondary,å?«??ä¸??,0,taipeh,2,391,121.5517932,25.0481266
667,0.373082130745851,0.064856382753984,secondary,å¸?æ°??é?äº??,0,taipeh,2,410,121.5622827,25.0469123
669,0.160766303394029,0.064852331889956,tertiary,é?·å®???ä¸??,0,taipeh,1,87,121.5237849,25.0492846
670,0.102544342829268,0.067386976853844,secondary,å???å???,0,taipeh,2,348,121.5577639,25.0488644
671,0.183725714770458,0.069306654011736,primary,??å???ä¸??,0,taipeh,2,76,121.5211383,25.0489097
674,0.227213899447475,0.094646730401018,tertiary,é?·å®???,0,taipeh,1,96,121.5190469,25.0503782
675,0.151718382130406,0.084910888442075,tertiary,é?·å®???,0,taipeh,1,19,121.5160246,25.0511056
676,0.252230932814774,0.128114814035852,secondary,é?æ?¶å???ä¸??,0,taipeh,1,21,121.5140587,25.0528332
678,0.118464003999243,0.074185656231416,secondary,å???å???,0,taipeh,2,350,121.5570219,25.052328
681,0.172013205892695,0.095420553083739,tertiary,æ???å???,0,taipeh,2,82,121.5253542,25.0531513
682,0.12334141172838,0.028324170711606,tertiary,å?æ???,0,taipeh,1,279,121.5300719,25.0539159
686,0.245212040955882,0.144805609526329,secondary,æ?¿??ä¸??,0,taipeh,3,16,121.5173522,25.0523483
687,0.148868997003217,0.064505033428779,tertiary,å????,0,taipeh,1,11,121.5110402,25.0537952
689,0.151617967185096,0.060568983382204,tertiary,é?·æ?¥?,0,taipeh,1,3,121.5398607,25.0546426
690,0.131095588341515,0.03887074246622,tertiary,é?·æ?¥?,0,taipeh,1,282,121.5310715,25.0548026
694,0.099544101233183,0.028601825926895,tertiary,é?·æ?¥?,0,taipeh,1,89,121.5250871,25.0548662
697,0.205340932320882,0.08176071000374,secondary,æ°?ç????,0,taipeh,1,13,121.5127549,25.0569486
698,0.078212927465113,0.028399897349337,tertiary,ä¸?æ°??,0,taipeh,1,374,121.5635754,25.0564867
699,0.169309757990279,0.105551394545382,secondary,æ°?ç????,0,taipeh,1,23,121.5143961,25.0569769
702,0.205770225135505,0.098338388593637,secondary,æ°?ç????ä¸??,0,taipeh,3,4,121.5381246,25.0579253
703,0.170880622040785,0.055303353330971,secondary,æ°?ç????,0,taipeh,1,92,121.5220154,25.0577731
704,0.090718019402855,0.046526242050309,secondary,æ°?ç????ä¸??,0,taipeh,2,102,121.5234529,25.0579366
707,0.100746604676757,0.060917634381888,secondary,æ°?ç????å???,0,taipeh,1,365,121.5545768,25.0581512
708,0.271738395927668,0.188542615573867,secondary,æ°?ç????äº??,0,taipeh,2,285,121.5310124,25.0578704
709,0.224610179372733,0.183645493385231,secondary,æ°?ç????äº??,0,taipeh,1,367,121.5587163,25.0584466
714,0.136526765871347,0.088839046767264,secondary,æ°?æ¬???ä¸??,0,taipeh,3,256,121.5470138,25.0619861
715,0.190325098165458,0.120265699274563,residential,?æ±??,0,taipeh,1,242,121.540842,25.0636493
716,0.176485301648109,0.115417193484908,secondary,æ°?æ¬???äº??,0,taipeh,2,289,121.5354841,25.062312
717,0.353644898821812,0.214033967181904,secondary,æ°?æ¬???ä¸??,0,taipeh,2,244,121.5385551,25.062251
719,0.143137993301786,0.084151845984142,secondary,æ°?æ¬???äº??,0,taipeh,2,115,121.5308505,25.0624529
722,0.095168331824074,0.037123385970495,tertiary,ä¸?æ°??,0,taipeh,1,358,121.5631247,25.0613107
724,0.140045712724686,0.051025514560303,primary,é?æ?¶å???ä¸??,0,taipeh,3,36,121.5135769,25.065237
727,0.23703333867023,0.097104933931139,secondary,æ°?æ???,0,taipeh,2,118,121.5294024,25.0682328
728,0.210177578744198,0.152569577165543,secondary,?æ±??,0,taipeh,3,293,121.5331697,25.0661861
730,0.264542844424373,0.154884589496526,secondary,æ°?æ???,0,taipeh,3,107,121.5210956,25.0684039
732,1.31111083248969,0.532443279642913,trunk,ç?°?å???äº??,0,taipeh,3,44,121.5088302,25.0637569
733,0.202063985120225,0.101966065191536,primary,é?æ?¶å???ä¸??,0,taipeh,3,40,121.5136608,25.0697337
734,0.146944231649985,0.133819963472071,primary,é?æ?¶å???ä¸??,0,taipeh,3,39,121.5137909,25.0673197
739,0.506794195816859,0.237050173463907,primary,??å???ä¸??,0,taipeh,2,120,121.5240309,25.0729164
773,0.209020959699992,0.130449808405081,secondary,å?ºé???äº??,0,taipeh,2,334,121.5537754,25.0254917
774,0.280330849378884,0.108124400376458,secondary,???äº??,0,taipeh,2,417,121.5665222,25.0329175
775,0.161647240540295,0.058324843131311,secondary,???äº??,0,taipeh,1,401,121.5603763,25.0331017
777,0.096646603735739,0.049406664596888,tertiary,?æ?º?,0,taipeh,3,426,121.5653564,25.03768
778,0.239622180219263,0.178257578878134,primary,????äº??,0,taipeh,3,433,121.5665789,25.0410446
780,0.325544385126652,0.161159577771276,service,,0,taipeh,3,287,121.5349152,25.0578003
784,0.19651410057102,0.055013915370971,service,å?ºé???äº??167?,0,taipeh,2,333,121.5538987,25.0254139
785,0.114960721387245,0.039009414569848,primary,????å???,0,taipeh,2,406,121.5619981,25.0413084
787,0.163149111183111,0.030422624009225,secondary,å????,0,taipeh,2,14,121.5164955,25.0535921
789,0.152185240467056,0.110148706404151,secondary,å????,0,taipeh,2,15,121.5164365,25.0534779
791,0.167816868671083,0.064491398665182,tertiary,é?·å®???ä¸??,0,taipeh,1,84,121.5270427,25.0485999
792,0.172899567208837,0.105992068708202,tertiary,é?·å®???ä¸??,0,taipeh,1,85,121.5270185,25.0485416
796,0.29774647868574,0.253342549111366,primary,??å???äº??,0,taipeh,2,90,121.5228538,25.0554752
797,0.090437870515647,0.06155954871625,primary,????äº??,0,taipeh,3,61,121.5305856,25.0429857
798,0.142914150322939,0.112738131813878,primary,????äº??,0,taipeh,3,62,121.5309397,25.0427427
802,0.251519645445357,0.201344689348004,primary,??å???äº??,0,taipeh,2,95,121.523117,25.0608732
804,0.247093648602478,0.041123301428869,primary,??å???äº??,0,taipeh,2,94,121.5228756,25.0608538
808,0.342503073045332,0.081841459063189,primary,??å??,0,taipeh,2,69,121.517305,25.0373285
809,0.345546381107581,0.252259859389505,primary,??å??,0,taipeh,2,68,121.5170582,25.0373771
